SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.0,2.0,3.5,1.0,Iris-versicolor
5.0,3.4,1.6,0.4,Iris-setosa
6.2,2.8,4.8,1.8,Iris-virginica
4.8,3.0,1.4,0.3,Iris-setosa
7.7,3.8,6.7,2.2,Iris-virginica
5.3,3.7,1.5,0.2,Iris-setosa
5.0,2.3,3.3,1.0,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
6.4,3.1,5.5,1.8,Iris-virginica
5.9,3.0,4.2,1.5,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor
4.7,3.2,1.6,0.2,Iris-setosa
6.7,3.3,5.7,2.1,Iris-virginica
5.6,2.5,3.9,1.1,Iris-versicolor
6.3,2.9,5.6,1.8,Iris-virginica
7.6,3.0,6.6,2.1,Iris-virginica
4.6,3.1,1.5,0.2,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
